UID,ANTENNA,ATM_CORR,BB,BAND,CALDATA_ID,REF_ANT,TIME,delay_X,delay_Y,error_X,error_Y
uid://A002/Xa2300a/X25,DV17,AP_UNCORRECTED,BB_3,ALMA_RB_03,CalData_7,DA42,2015-06-03 23:20:52.128000,-2.3693548859005098e-11,-8.789445733736745e-12,1.586480946613733e-11,1.5649587528643316e-11
uid://A002/Xa2300a/X25,DV18,AP_UNCORRECTED,BB_3,ALMA_RB_03,CalData_7,DA42,2015-06-03 23:20:52.128000,1.800617467628829e-11,3.708459581086565e-11,1.1105508873621162e-11,1.421985532795711e-11
uid://A002/Xa2300a/X25,DV19,AP_UNCORRECTED,BB_3,ALMA_RB_03,CalData_7,DA42,2015-06-03 23:20:52.128000,-1.5180579016060847e-11,-6.054549765190098e-13,2.223915322729919e-11,1.9041454177304296e-11
uid://A002/Xa2300a/X25,DV20,AP_UNCORRECTED,BB_3,ALMA_RB_03,CalData_7,DA42,2015-06-03 23:20:52.128000,1.5376762363406016e-11,2.1465901972606005e-11,1.4126230567235165e-11,1.592954240736688e-11
uid://A002/Xa2300a/X25,DV21,AP_UNCORRECTED,BB_3,ALMA_RB_03,CalData_7,DA42,2015-06-03 23:20:52.128000,-8.927568753702708e-12,1.0948565838664326e-11,2.3287887243594874e-11,2.2753951500753544e-11
uid://A002/Xa2300a/X25,DV22,AP_UNCORRECTED,BB_3,ALMA_RB_03,CalData_7,DA42,2015-06-03 23:20:52.128000,2.4798796696701153e-11,-7.765840921714062e-12,7.754797672065994e-12,2.88817476878922e-11
uid://A002/Xa2300a/X25,DV23,AP_UNCORRECTED,BB_3,ALMA_RB_03,CalData_7,DA42,2015-06-03 23:20:52.128000,1.6432572316760208e-11,-4.7878652431609936e-11,8.111331918636555e-12,1.6792718257607753e-11
uid://A002/Xa2300a/X113,DV13,AP_UNCORRECTED,BB_2,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,-5.881332747204038e-12,7.60408194744322e-11,2.0010512344348363e-11,2.6735225144847163e-11
uid://A002/Xa2300a/X113,DV14,AP_UNCORRECTED,BB_2,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,1.592689521934254e-11,-5.382499654316142e-11,1.5465692962401967e-11,1.2999832980920001e-11
uid://A002/Xa2300a/X113,DV15,AP_UNCORRECTED,BB_2,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,1.511584434010782e-11,4.3271795868715657e-11,1.856485971896138e-11,2.5679314577531365e-11
uid://A002/Xa2300a/X113,DV16,AP_UNCORRECTED,BB_2,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,-4.0985340121757474e-11,-7.500768062218555e-11,1.3202200617457027e-11,1.4436268153117382e-11
uid://A002/Xa2300a/X113,DV17,AP_UNCORRECTED,BB_2,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,1.6913245109995145e-11,-5.196627503312179e-11,5.759575542191309e-12,9.324730224080646e-12
uid://A002/Xa2300a/X113,DV18,AP_UNCORRECTED,BB_2,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,-2.4132510226260173e-11,-2.7297259504871496e-12,1.9985693655577563e-11,1.1636100069600808e-11
